,test,case,Line
676,test_median,numeric_only False-skipna False-over rows str-empty_data,Line 49171
677,test_median,numeric_only False-skipna False-over rows str-columns_only,Line 49311
678,test_median,numeric_only False-skipna False-over columns int-empty_data,Line 49452
679,test_median,numeric_only False-skipna False-over columns int-columns_only,Line 49500
680,test_median,numeric_only False-skipna False-over columns str-empty_data,Line 49825
681,test_median,numeric_only False-skipna False-over columns str-columns_only,Line 49873
682,test_median,numeric_only False-skipna None-over rows int-empty_data,Line 50180
683,test_median,numeric_only False-skipna None-over rows int-columns_only,Line 50320
684,test_median,numeric_only False-skipna None-over rows str-empty_data,Line 50461
685,test_median,numeric_only False-skipna None-over rows str-columns_only,Line 50601
686,test_median,numeric_only False-skipna None-over columns int-empty_data,Line 50834
687,test_median,numeric_only False-skipna None-over columns int-columns_only,Line 50882
688,test_median,numeric_only False-skipna None-over columns str-empty_data,Line 51023
689,test_median,numeric_only False-skipna None-over columns str-columns_only,Line 51237
690,test_median,numeric_only None-skipna True-over rows int-empty_data,Line 51389
691,test_median,numeric_only None-skipna True-over rows int-columns_only,Line 51476
692,test_median,numeric_only None-skipna True-over rows str-empty_data,Line 51714
693,test_median,numeric_only None-skipna True-over rows str-columns_only,Line 51887
694,test_median,numeric_only None-skipna True-over columns int-empty_data,Line 52046
695,test_median,numeric_only None-skipna True-over columns int-columns_only,Line 52133
696,test_median,numeric_only None-skipna True-over columns str-empty_data,Line 52366
697,test_median,numeric_only None-skipna True-over columns str-columns_only,Line 52527
698,test_median,numeric_only None-skipna False-over rows int-empty_data,Line 52594
699,test_median,numeric_only None-skipna False-over rows int-columns_only,Line 52852
700,test_median,numeric_only None-skipna False-over rows str-empty_data,Line 53004
701,test_median,numeric_only None-skipna False-over rows str-columns_only,Line 53091
702,test_median,numeric_only None-skipna False-over columns int-empty_data,Line 53336
703,test_median,numeric_only None-skipna False-over columns int-columns_only,Line 53497
704,test_median,numeric_only None-skipna False-over columns str-empty_data,Line 53657
705,test_median,numeric_only None-skipna False-over columns str-columns_only,Line 53818
706,test_median,numeric_only None-skipna None-over rows int-empty_data,Line 54056
707,test_median,numeric_only None-skipna None-over rows int-columns_only,Line 54228
708,test_median,numeric_only None-skipna None-over rows str-empty_data,Line 54381
709,test_median,numeric_only None-skipna None-over rows str-columns_only,Line 54560
710,test_median,numeric_only None-skipna None-over columns int-empty_data,Line 54701
711,test_median,numeric_only None-skipna None-over columns int-columns_only,Line 54880
712,test_median,numeric_only None-skipna None-over columns str-empty_data,Line 55021
713,test_median,numeric_only None-skipna None-over columns str-columns_only,Line 55193
714,test_memory_usage,empty_data,Line 55346
715,test_memory_usage,columns_only,Line 55582
716,test_min,numeric_only True-skipna True-over rows int-empty_data,Line 55802
717,test_min,numeric_only True-skipna True-over rows int-columns_only,Line 55960
